timestamp_utc,symbol,price,action,confidence,tech_signal,ml_prob,position_qty,equity,drawdown,traded,regime,threshold,note
2026-05-17T06:48:16.064471+00:00,BTC/USD,78037.02,OUT,0.322641,0.110294,0.032726,1.9e-05,101316.43,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-17T06:48:24.156284+00:00,SOL/USD,86.718,OUT,0.319237,0.219765,0.043332,0.0,101316.43,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-17T06:48:46.271962+00:00,DOGE/USD,0.10945,OUT,0.352785,0.246879,0.075787,5.3e-05,101316.43,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-17T09:49:57.131418+00:00,BTC/USD,78102.015,OUT,0.345546,0.104987,0.036064,1.9e-05,101316.46,0.0,0,range,0.42,waiting_for_entry
2026-05-17T09:50:09.261416+00:00,SOL/USD,86.71215,OUT,0.323694,0.164733,0.042577,0.0,101316.46,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-17T09:50:25.933151+00:00,DOGE/USD,0.110818,OUT,0.3875,0.315142,0.076305,5.3e-05,101316.46,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-17T13:26:53.554809+00:00,BTC/USD,78220.5835,OUT,0.342519,0.160218,0.06369,1.9e-05,101316.47,0.0,0,range,0.42,waiting_for_entry
2026-05-17T13:27:02.851159+00:00,SOL/USD,86.3545,OUT,0.323003,0.152031,0.078283,0.0,101316.47,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-17T13:27:24.901059+00:00,DOGE/USD,0.11125,OUT,0.388766,0.460025,0.075037,5.3e-05,101316.47,0.0,0,range,0.46,waiting_for_entry
2026-05-17T17:01:08.042684+00:00,BTC/USD,77993.45,OUT,0.282782,0.047659,0.066927,1.9e-05,101316.43,0.0,0,range,0.42,waiting_for_entry
2026-05-17T17:01:22.589194+00:00,SOL/USD,86.285,OUT,0.259862,-0.041071,0.09256,0.0,101316.43,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-17T17:01:46.656424+00:00,DOGE/USD,0.110115,OUT,0.306024,-0.032971,0.075272,5.3e-05,101316.43,0.0,0,range,0.46,waiting_for_entry
2026-05-17T20:57:17.753774+00:00,BTC/USD,78262.48,OUT,0.297322,0.078164,0.057577,1.9e-05,101316.46,0.0,0,range,0.42,waiting_for_entry
2026-05-17T20:57:25.897882+00:00,SOL/USD,86.69,OUT,0.294195,0.14603,0.075831,0.0,101316.46,0.0,0,range,0.42,waiting_for_entry
2026-05-17T20:57:43.590494+00:00,DOGE/USD,0.110549,OUT,0.324514,0.058149,0.074986,5.3e-05,101316.46,0.0,0,range,0.46,waiting_for_entry
2026-05-18T03:57:49.385820+00:00,BTC/USD,76879.11,OUT,0.222095,-0.468494,0.132733,1.9e-05,101316.01,0.0,0,range,0.42,waiting_for_entry
2026-05-18T03:57:58.937592+00:00,SOL/USD,84.805,OUT,0.20112,-0.455331,0.073819,0.0,101316.01,0.0,0,range,0.42,waiting_for_entry
2026-05-18T03:58:14.775165+00:00,DOGE/USD,0.106422,OUT,0.230299,-0.494397,0.136853,5.3e-05,101316.01,0.0,0,range,0.46,waiting_for_entry
2026-05-18T08:12:08.888987+00:00,BTC/USD,77017.615,OUT,0.241439,-0.309824,0.083333,1.9e-05,101316.05,0.0,0,range,0.42,waiting_for_entry
2026-05-18T08:12:17.831847+00:00,SOL/USD,84.785,OUT,0.209152,-0.45808,0.058892,0.0,101316.05,0.0,0,range,0.42,waiting_for_entry
2026-05-18T08:12:38.080251+00:00,DOGE/USD,0.104373,OUT,0.204168,-0.657092,0.122584,5.3e-05,101316.05,0.0,0,range,0.46,waiting_for_entry
2026-05-18T15:39:18.333991+00:00,BTC/USD,76248.426,OUT,0.257707,-0.25709,0.104123,1.9e-05,101315.96,0.0,0,range,0.42,waiting_for_entry
2026-05-18T15:39:34.324905+00:00,SOL/USD,83.925,OUT,0.239451,-0.236613,0.07208,0.0,101315.96,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-18T15:39:58.916509+00:00,DOGE/USD,0.103601,OUT,0.230741,-0.397342,0.079453,5.3e-05,101315.96,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-18T18:03:28.767540+00:00,BTC/USD,76519.225,OUT,0.282629,-0.055346,0.076992,1.9e-05,101315.96,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-18T18:03:43.890938+00:00,SOL/USD,84.155,OUT,0.276163,0.002033,0.071169,0.0,101315.96,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-18T18:04:08.726910+00:00,DOGE/USD,0.1037,OUT,0.267785,-0.160585,0.128167,5.3e-05,101315.96,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-18T21:15:38.864830+00:00,BTC/USD,76870.827,OUT,0.338224,0.160355,0.076513,1.9e-05,101316.06,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-18T21:15:52.834020+00:00,SOL/USD,84.935,OUT,0.314625,0.139688,0.066754,0.0,101316.06,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-18T21:16:15.536768+00:00,DOGE/USD,0.104239,OUT,0.292622,0.043602,0.073635,5.3e-05,101316.06,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T03:52:00.098521+00:00,BTC/USD,76792.14,OUT,0.30561,-0.016325,0.093288,1.9e-05,101316.11,0.0,0,range,0.42,waiting_for_entry
2026-05-19T03:52:09.429599+00:00,SOL/USD,85.1105,OUT,0.300331,0.026656,0.04571,0.0,101316.11,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-19T03:52:26.156996+00:00,DOGE/USD,0.10436,OUT,0.299582,0.089374,0.065744,5.3e-05,101316.11,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T07:51:13.692385+00:00,BTC/USD,77201.7,OUT,0.33328,-0.041268,0.102396,1.9e-05,101316.21,0.0,0,range,0.42,waiting_for_entry
2026-05-19T07:51:22.378011+00:00,SOL/USD,85.4891,OUT,0.305363,-0.014615,0.026829,0.0,101316.21,0.0,0,range,0.42,waiting_for_entry
2026-05-19T07:51:43.242602+00:00,DOGE/USD,0.10505,OUT,0.32923,0.202553,0.067746,5.3e-05,101316.21,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T11:23:06.649775+00:00,BTC/USD,76791.202,OUT,0.35027,0.091217,0.095622,1.9e-05,101316.01,0.0,0,range,0.42,waiting_for_entry
2026-05-19T11:23:15.252084+00:00,SOL/USD,84.68,OUT,0.318979,-0.042259,0.058461,0.0,101316.01,0.0,0,range,0.42,waiting_for_entry
2026-05-19T11:23:34.596633+00:00,DOGE/USD,0.103985,OUT,0.32185,0.107671,0.064547,5.3e-05,101316.01,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T15:31:47.025920+00:00,BTC/USD,76492.154,OUT,0.301279,0.058351,0.015385,1.9e-05,101315.9,0.0,0,range,0.42,waiting_for_entry
2026-05-19T15:32:42.000551+00:00,SOL/USD,84.46585,OUT,0.315182,-0.073407,0.062164,0.0,101315.9,0.0,0,range,0.42,waiting_for_entry
2026-05-19T15:32:55.449166+00:00,DOGE/USD,0.103795,OUT,0.323263,0.112139,0.073846,5.3e-05,101315.9,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T18:09:33.933499+00:00,BTC/USD,76870.165,OUT,0.30343,-0.04091,0.023841,1.9e-05,101316.02,0.0,0,range,0.42,waiting_for_entry
2026-05-19T18:09:50.004974+00:00,SOL/USD,84.66105,OUT,0.308298,-0.035017,0.060787,0.0,101316.02,0.0,0,range,0.42,waiting_for_entry
2026-05-19T18:10:10.194753+00:00,DOGE/USD,0.10365,OUT,0.309898,0.041818,0.064203,5.3e-05,101316.02,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-19T21:22:36.088687+00:00,BTC/USD,76951.28,OUT,0.319801,0.072141,0.038237,1.9e-05,101315.97,0.0,0,range,0.42,waiting_for_entry
2026-05-19T21:22:45.026862+00:00,SOL/USD,84.43515,OUT,0.312021,0.063974,0.054355,0.0,101315.97,0.0,0,range,0.42,waiting_for_entry
2026-05-19T21:23:01.561625+00:00,DOGE/USD,0.103595,OUT,0.300883,0.031559,0.064966,5.3e-05,101315.97,0.0,0,bear_trend,0.46,waiting_for_entry
